name,Abbey Orchard Street,Aberdeen Place,Abingdon Villas,Albert Embankment,Albert Gate,Alderney Street,Aldersgate Street,Alfred Place,Altab Ali Park,Ampton Street,Appold Street,Argyll Road,Ashley Place,Baker Street,Baldwin Street,Bank of England Museum,Bankside Mix,Barbican Centre,Bath Street,Bayley Street
Abbey Orchard Street,0.0,1535.0,1479.0,428.0,701.0,463.0,1156.0,854.0,1555.0,1189.0,1418.0,1377.0,,,1430.0,1080.0,773.0,1235.0,1351.0,809.0
Aberdeen Place,1455.0,0.0,1351.0,1822.0,1027.0,1578.0,1867.0,1131.0,2549.0,1387.0,2199.0,1234.0,,,1939.0,2112.0,1937.0,2005.0,1965.0,1152.0
Abingdon Villas,1479.0,1458.0,0.0,1845.0,847.0,1351.0,2228.0,1742.0,2735.0,2085.0,2560.0,154.0,,,2405.0,2260.0,2041.0,2355.0,2326.0,1698.0
Albert Embankment,401.0,1866.0,1810.0,0.0,1032.0,668.0,1219.0,1115.0,1573.0,1303.0,1472.0,1709.0,,,1493.0,1135.0,746.0,1293.0,1414.0,1071.0
Albert Gate,675.0,1086.0,860.0,1042.0,0.0,626.0,1448.0,960.0,1932.0,1305.0,1769.0,759.0,,,1625.0,1457.0,1238.0,1552.0,1546.0,915.0
Alderney Street,467.0,1674.0,1391.0,666.0,707.0,0.0,1581.0,1279.0,1975.0,1614.0,1843.0,1348.0,,1282.0,1855.0,1505.0,1149.0,1660.0,1776.0,1234.0
Aldersgate Street,1117.0,1878.0,2210.0,1144.0,1432.0,1561.0,0.0,866.0,755.0,559.0,384.0,2108.0,,1387.0,361.0,317.0,591.0,168.0,282.0,811.0
Alfred Place,891.0,1073.0,1791.0,1118.0,997.0,1336.0,816.0,0.0,1524.0,448.0,1148.0,1685.0,,608.0,993.0,1061.0,887.0,954.0,914.0,102.0
Altab Ali Park,1595.0,2515.0,2759.0,1546.0,1981.0,2006.0,764.0,1505.0,0.0,1194.0,376.0,2658.0,,2046.0,610.0,546.0,940.0,652.0,615.0,1461.0
Ampton Street,1208.0,1320.0,2046.0,1354.0,1340.0,1653.0,517.0,441.0,1225.0,0.0,848.0,1928.0,,852.0,658.0,834.0,801.0,665.0,614.0,452.0
Appold Street,1421.0,2175.0,2515.0,1449.0,1737.0,1866.0,388.0,1166.0,387.0,855.0,0.0,,,1692.0,278.0,426.0,864.0,275.0,281.0,1115.0
Argyll Road,1362.0,1341.0,139.0,1729.0,731.0,1279.0,2112.0,1626.0,2618.0,1969.0,2443.0,,,1226.0,2288.0,2143.0,1924.0,2239.0,2209.0,1581.0
Ashley Place,283.0,1497.0,1423.0,602.0,649.0,404.0,1384.0,1082.0,1783.0,1417.0,1646.0,,,1105.0,1658.0,1308.0,1000.0,1463.0,1579.0,1037.0
Baker Street,1097.0,619.0,1312.0,1392.0,722.0,1237.0,1357.0,638.0,2065.0,911.0,1689.0,,,0.0,1534.0,1600.0,1426.0,1495.0,1455.0,651.0
Baldwin Street,1442.0,2015.0,2488.0,1470.0,1715.0,1887.0,326.0,1005.0,632.0,695.0,286.0,,,1546.0,0.0,563.0,917.0,293.0,79.0,961.0
Bank of England Museum,1086.0,2051.0,2250.0,1103.0,1472.0,1531.0,402.0,1039.0,530.0,811.0,395.0,,,1560.0,448.0,0.0,467.0,308.0,432.0,983.0
Bankside Mix,799.0,2003.0,2112.0,709.0,1334.0,1169.0,650.0,997.0,938.0,844.0,801.0,,,1492.0,853.0,463.0,0.0,713.0,838.0,953.0
Barbican Centre,1219.0,1981.0,2313.0,1247.0,1535.0,1664.0,186.0,969.0,686.0,689.0,296.0,,,1490.0,320.0,320.0,694.0,0.0,237.0,913.0
Bath Street,1369.0,1942.0,2416.0,1397.0,1642.0,1814.0,253.0,932.0,661.0,622.0,284.0,,,1474.0,111.0,490.0,844.0,220.0,0.0,888.0
Bayley Street,846.0,1070.0,1746.0,1072.0,952.0,1291.0,796.0,64.0,1504.0,465.0,1127.0,,,611.0,972.0,1041.0,862.0,933.0,893.0,0.0
